name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude
مرکز درمانی دارالشفاء امام حسن مجتبی(ع),clinic,clinic,clinic,True,False,35.6852967,51.4541419
مطب دکتر شفیع زاده,doctors,doctor,doctors,True,False,35.6985188,51.3809752
درمانگاه شهید فلاحی,clinic,clinic,clinic,True,False,35.7847134,51.5027743
درمانگاه شبانه روزی گرگان,clinic,clinic,clinic,True,False,35.705441,51.4439145
پلی کلینیک تخصصی جشنواره,clinic,clinic,clinic,True,False,35.7294441,51.5472681
مطب دکتر فارسی,doctors,doctor,doctors,True,False,35.7584329,51.4532798
درمانگاه امیرکبیر,clinic,clinic,clinic,True,False,35.6617333,51.3437569
درمانگاه شبانه‌روزی مشیری,clinic,clinic,clinic,True,False,35.6683568,51.3468576
درمانگاه ازگل,clinic,clinic,clinic,True,False,35.7961139,51.4961524
مرکز تصویربرداری پزشکی نماطب,clinic,clinic,clinic,True,False,35.7042035,51.4392284
آزمایشگاه تشخیص طبی یونسی,,laboratory,laboratory,True,False,35.7118978,51.4504791
آزمایشگاه تشخیص طبی تک,,laboratory,laboratory,True,False,35.7056554,51.4442209
مرکز تصویربرداری پزشکی ملاصدرا MRI,clinic,clinic,clinic,True,False,35.7532647,51.3964376
درمانگاه نور,clinic,clinic,clinic,True,False,35.5903596,51.4350716
درمانگاه ایلیاد,clinic,clinic,clinic,True,False,35.7596124,51.3028471
درمانگاه خیریه شهدای مسجد جامع غدیر خم,clinic,clinic,clinic,True,False,35.7573442,51.4575593
آزمایشگاه تشخیص پزشکی دکتر فلاح,,laboratory,laboratory,True,False,35.6613018,51.4858747
مرکز تصویربرداری پزشکی حقیقت,doctors,doctor,doctors,True,False,35.7299883,51.4955341
داروخانه دکتر مفیدی,clinic,clinic,clinic,True,False,35.7474762,51.2634177
درمانگاه شبانه روزی الزهرا,clinic,,clinic,True,False,35.7234622,51.3103267
درمانگاه خیریه حضرت ولیعصر(عج),clinic,clinic,clinic,True,False,35.6837091,51.4311174
آزمایشگاه تشخیص طبی مهرآگین,,laboratory,laboratory,True,False,35.7450518,51.5162507
درمانگاه شبانه‌روزی حضرت ابوالفضل,clinic,clinic,clinic,True,False,35.7048378,51.487854
آزمایشگاه مسعود,,laboratory,laboratory,True,False,35.7627496,51.4123269
درمانگاه شبانه‌روزی دولت,clinic,clinic,clinic,True,False,35.7804138,51.4630707
درمانگاه مرزداران,clinic,clinic,clinic,True,False,35.7341808,51.3550407
تراب,clinic,clinic,clinic,True,False,35.7795331,51.4482507
درمانگاه شوکت,clinic,clinic,clinic,True,False,35.7473483,51.5021596
آزمایشگاه تشخیص طبی دکتر محرابیان,,laboratory,laboratory,True,False,35.7498973,51.5443573
مرکز بهداشتی و درمانی شهرداری تهران,clinic,clinic,clinic,True,False,35.7135296,51.487806
کلینیک طب سوزنی,clinic,clinic,clinic,True,False,35.7056768,51.4402153
درمانگاه شاهد,clinic,clinic,clinic,True,False,35.7339876,51.5390586
ساختمان پزشکان سینا,clinic,clinic,clinic,True,False,35.7416841,51.546967
درمانگاه ایرانپارس,clinic,clinic,clinic,True,False,35.7673953,51.3094619
درمانگاه فرهنگیان,clinic,clinic,clinic,True,False,35.712956,51.4895529
مطب دکتر محمد کمالی,doctors,doctor,doctors,True,False,35.7402559,51.338697
unnamed,clinic,clinic,clinic,True,False,35.7378871,51.2859707
کلینیک فوق تخصصی چشم پزشکی نور,clinic,clinic,clinic,True,False,35.7237573,51.4384316
کلینیک اسرا طب سنتی,clinic,clinic,clinic,True,False,35.7163157,51.4907647
مرکز بهداشت شرکت ارتباطات زیرساخت,clinic,clinic,clinic,True,False,35.7056453,51.3979621
دکتر گیتی الیاسی,doctors,doctor,doctors,True,False,35.7110315,51.3157479
درمانگاه تخصصی شهرداری منطقه ۸,clinic,clinic,clinic,True,False,35.7252862,51.5020768
کلینیک نسیم قیطریه,clinic,clinic,clinic,True,False,35.7923,51.4529144
کلینیک تخصصی شبانه روزی ندا,clinic,,clinic,True,False,35.7973568,51.4573878
درمانگاه خیریه,clinic,,clinic,True,False,35.7191727,51.4721931
مرکز بهداشت شهید دکمه چی,clinic,,clinic,True,False,35.7341423,51.4741091
کلینیک پوست دکتر دولتى,clinic,,clinic,True,False,35.7619289,51.4126116
کلینیک پوست به‌سیما,clinic,clinic,clinic,True,False,35.7492073,51.4108098
مطب دکتر ناطقیان,doctors,doctor,doctors,True,False,35.7527628,51.4490184
کلینیک,clinic,clinic,clinic,True,False,35.7864944,51.4869653
درمانگاه پارتیان,clinic,clinic,clinic,True,False,35.7392684,51.4698598
دکتر مجتبی کلینی جراح زیبایی,doctors,doctor,doctors,True,False,35.7444093,51.4115326
مطب دکتر پارسا,doctors,doctor,doctors,True,False,35.770495,51.4400062
کیلینیک تخصصی تصویربرداری دلیری,clinic,clinic,clinic,True,False,35.6574773,51.372674
کلینیک تصویربرداری گامانایف,clinic,clinic,clinic,True,False,35.7671947,51.4255189
مطب خانم دکتر توکلی,doctors,doctor,doctors,True,False,35.7680181,51.4415913
آزمایشگاه هاشمی نژاد,,laboratory,laboratory,True,False,35.6666409,51.3662636
کیلینیک تخصصی اطفال پگاه,clinic,clinic,clinic,True,False,35.7437132,51.4584503
درمانگاه خانواده,clinic,clinic,clinic,True,False,35.6769213,51.327891
درمانگاه,clinic,clinic,clinic,True,False,35.7563219,51.3768393
آزمایشگاه پاتوبیولوژی مرکزی,,laboratory,laboratory,True,False,35.7977808,51.4184429
درمانگاه اباصالح ع,clinic,,clinic,True,False,35.7895742,51.4190029
پلی کلینیک تخصصی موسسه رفاهی کشتیرانی,clinic,clinic,clinic,True,False,35.7700608,51.4926527
ساختمان پزشکان,clinic,clinic,clinic,True,False,35.7374215,51.3765436
درمانگاه شبانه روزی گلستان غرب,clinic,clinic,clinic,True,False,35.7497635,51.2414992
حامد محمد قهری,doctors,doctor,doctors,True,False,35.7790877,51.4631243
درمانگاه خیریه ولیعصر(ارشاد),clinic,clinic,clinic,True,False,35.6019747,51.427069
درمانگاه دکتر ایرانزاد,clinic,clinic,clinic,True,False,35.7002855,51.3683891
مطب دکتر بهار محجوبی,doctors,doctor,doctors,True,False,35.7285404,51.4352524
دکتر نبوی فوق تخصص آلرژی کودکان,doctors,doctor,doctors,True,False,35.7797316,51.4493874
پاتوبیولوژی نصرت,clinic,,clinic,True,False,35.7063989,51.3648739
کلینیک سید الشهدا,clinic,clinic,clinic,True,False,35.6557356,51.35354
کلینیک امام رضا,clinic,clinic,clinic,True,False,35.6555559,51.3538284
درمانگاه رئوف,clinic,clinic,clinic,True,False,35.7745606,51.4338977
مرکز روماتیسم ایران,clinic,clinic,clinic,True,False,35.7186411,51.3898664
رادیولوژی و سونوگرافی بزرگمهر,doctors,doctor,doctors,True,False,35.7036552,51.4046207
درمانگاه بهاران,clinic,clinic,clinic,True,False,35.6504544,51.3562798
مرکز خدمات پزشکی شهرک شهید باقری,clinic,clinic,clinic,True,False,35.7611605,51.2058682
unnamed,clinic,clinic,clinic,True,False,35.76849,51.291753
رادیولوژی طوس,doctors,doctor,doctors,True,False,35.7113416,51.3159634
آزمایشگاه پاتوبیولوژی پژوهش,,laboratory,laboratory,True,False,35.7077595,51.3059735
مرکز خدمات جامع سلامت شهید غفاری,clinic,clinic,clinic,True,False,35.707757,51.306238
مرکز اهدای خون,,blood_donation,blood_donation,False,True,35.7234,51.3347326
ساختمان پزشکان سبز,clinic,clinic,clinic,True,False,35.7214278,51.3465533
کیش طب آریا /تن آور,clinic,clinic,clinic,True,False,35.7705886,51.4399076
درمانگاه شبانه‌روزی اسفند,clinic,clinic,clinic,True,False,35.7004988,51.3906119
مطب دکتر سهراب هاشمى فشارکى,doctors,doctor,doctors,True,False,35.7800155,51.4492664
آزمایشگاه پیشرفته,,laboratory,laboratory,True,False,35.6576189,51.3611572
دارالشفا قائم,clinic,,clinic,True,False,35.8048757,51.4398969
مرکز سی تی اسکن کامرانی,clinic,clinic,clinic,True,False,35.7005725,51.3902619
آزمایشگاه دکتر نظری,,laboratory,laboratory,True,False,35.7254679,51.5243617
آزمایشگاه نارمک,,laboratory,laboratory,True,False,35.7287748,51.4941788
مرکز اهدای خون شهدای چیذر,,blood_donation,blood_donation,False,True,35.7975498,51.4567779
درمانگاه شهرداری منطقه ۱۷,clinic,clinic,clinic,True,False,35.6564587,51.3642435
پایگاه سلامت شهید صفرپور,clinic,clinic,clinic,True,False,35.7530491,51.2195866
درمانگاه افرا,clinic,clinic,clinic,True,False,35.6581232,51.3581127
دکتر حامد عباسی,doctors,doctor,doctors,True,False,35.8048619,51.4217257
