name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
مرکز درمانی دارالشفاء امام حسن مجتبی(ع),clinic,clinic,clinic,True,False,35.6852967,51.4541419,0,airport_buffer,True
مطب دکتر شفیع زاده,doctors,doctor,doctors,True,False,35.6985188,51.3809752,1,,False
درمانگاه شهید فلاحی,clinic,clinic,clinic,True,False,35.7847134,51.5027743,2,military_security,True
درمانگاه شبانه روزی گرگان,clinic,clinic,clinic,True,False,35.705441,51.4439145,3,airport_buffer,True
پلی کلینیک تخصصی جشنواره,clinic,clinic,clinic,True,False,35.7294441,51.5472681,4,,False
مطب دکتر فارسی,doctors,doctor,doctors,True,False,35.7584329,51.4532798,5,government_political,True
درمانگاه امیرکبیر,clinic,clinic,clinic,True,False,35.6617333,51.3437569,6,airport_buffer,True
درمانگاه شبانه‌روزی مشیری,clinic,clinic,clinic,True,False,35.6683568,51.3468576,7,airport_buffer,True
درمانگاه ازگل,clinic,clinic,clinic,True,False,35.7961139,51.4961524,8,,False
مرکز تصویربرداری پزشکی نماطب,clinic,clinic,clinic,True,False,35.7042035,51.4392284,9,airport_buffer,True
آزمایشگاه تشخیص طبی یونسی,,laboratory,laboratory,True,False,35.7118978,51.4504791,10,airport_buffer,True
آزمایشگاه تشخیص طبی تک,,laboratory,laboratory,True,False,35.7056554,51.4442209,11,airport_buffer,True
مرکز تصویربرداری پزشکی ملاصدرا MRI,clinic,clinic,clinic,True,False,35.7532647,51.3964376,12,,False
درمانگاه نور,clinic,clinic,clinic,True,False,35.5903596,51.4350716,13,,False
درمانگاه ایلیاد,clinic,clinic,clinic,True,False,35.7596124,51.3028471,14,,False
درمانگاه خیریه شهدای مسجد جامع غدیر خم,clinic,clinic,clinic,True,False,35.7573442,51.4575593,15,,False
آزمایشگاه تشخیص پزشکی دکتر فلاح,,laboratory,laboratory,True,False,35.6613018,51.4858747,16,,False
مرکز تصویربرداری پزشکی حقیقت,doctors,doctor,doctors,True,False,35.7299883,51.4955341,17,airport_buffer,True
داروخانه دکتر مفیدی,clinic,clinic,clinic,True,False,35.7474762,51.2634177,18,airport_buffer|government_political,True
درمانگاه شبانه روزی الزهرا,clinic,,clinic,True,False,35.7234622,51.3103267,19,airport_buffer|government_political,True
درمانگاه خیریه حضرت ولیعصر(عج),clinic,clinic,clinic,True,False,35.6837091,51.4311174,20,,False
آزمایشگاه تشخیص طبی مهرآگین,,laboratory,laboratory,True,False,35.7450518,51.5162507,21,,False
درمانگاه شبانه‌روزی حضرت ابوالفضل,clinic,clinic,clinic,True,False,35.7048378,51.487854,22,airport_buffer,True
