name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
مطب دکتر شفیع زاده,doctors,doctor,doctors,True,False,35.6985188,51.3809752,1,,False
پلی کلینیک تخصصی جشنواره,clinic,clinic,clinic,True,False,35.7294441,51.5472681,4,,False
درمانگاه ازگل,clinic,clinic,clinic,True,False,35.7961139,51.4961524,8,,False
مرکز تصویربرداری پزشکی ملاصدرا MRI,clinic,clinic,clinic,True,False,35.7532647,51.3964376,12,,False
درمانگاه نور,clinic,clinic,clinic,True,False,35.5903596,51.4350716,13,,False
درمانگاه ایلیاد,clinic,clinic,clinic,True,False,35.7596124,51.3028471,14,,False
درمانگاه خیریه شهدای مسجد جامع غدیر خم,clinic,clinic,clinic,True,False,35.7573442,51.4575593,15,,False
آزمایشگاه تشخیص پزشکی دکتر فلاح,,laboratory,laboratory,True,False,35.6613018,51.4858747,16,,False
درمانگاه خیریه حضرت ولیعصر(عج),clinic,clinic,clinic,True,False,35.6837091,51.4311174,20,,False
آزمایشگاه تشخیص طبی مهرآگین,,laboratory,laboratory,True,False,35.7450518,51.5162507,21,,False
درمانگاه مرزداران,clinic,clinic,clinic,True,False,35.7341808,51.3550407,25,,False
تراب,clinic,clinic,clinic,True,False,35.7795331,51.4482507,26,,False
درمانگاه شوکت,clinic,clinic,clinic,True,False,35.7473483,51.5021596,27,,False
آزمایشگاه تشخیص طبی دکتر محرابیان,,laboratory,laboratory,True,False,35.7498973,51.5443573,28,,False
درمانگاه شاهد,clinic,clinic,clinic,True,False,35.7339876,51.5390586,31,,False
ساختمان پزشکان سینا,clinic,clinic,clinic,True,False,35.7416841,51.546967,32,,False
درمانگاه ایرانپارس,clinic,clinic,clinic,True,False,35.7673953,51.3094619,33,,False
مطب دکتر محمد کمالی,doctors,doctor,doctors,True,False,35.7402559,51.338697,35,,False
مرکز بهداشت شرکت ارتباطات زیرساخت,clinic,clinic,clinic,True,False,35.7056453,51.3979621,39,,False
کلینیک نسیم قیطریه,clinic,clinic,clinic,True,False,35.7923,51.4529144,42,,False
کلینیک تخصصی شبانه روزی ندا,clinic,,clinic,True,False,35.7973568,51.4573878,43,,False
کلینیک پوست دکتر دولتى,clinic,,clinic,True,False,35.7619289,51.4126116,46,,False
مطب دکتر ناطقیان,doctors,doctor,doctors,True,False,35.7527628,51.4490184,48,,False
کلینیک,clinic,clinic,clinic,True,False,35.7864944,51.4869653,49,,False
دکتر مجتبی کلینی جراح زیبایی,doctors,doctor,doctors,True,False,35.7444093,51.4115326,51,,False
مطب دکتر پارسا,doctors,doctor,doctors,True,False,35.770495,51.4400062,52,,False
کیلینیک تخصصی تصویربرداری دلیری,clinic,clinic,clinic,True,False,35.6574773,51.372674,53,,False
کلینیک تصویربرداری گامانایف,clinic,clinic,clinic,True,False,35.7671947,51.4255189,54,,False
کیلینیک تخصصی اطفال پگاه,clinic,clinic,clinic,True,False,35.7437132,51.4584503,57,,False
درمانگاه,clinic,clinic,clinic,True,False,35.7563219,51.3768393,59,,False
آزمایشگاه پاتوبیولوژی مرکزی,,laboratory,laboratory,True,False,35.7977808,51.4184429,60,,False
ساختمان پزشکان,clinic,clinic,clinic,True,False,35.7374215,51.3765436,63,,False
درمانگاه خیریه ولیعصر(ارشاد),clinic,clinic,clinic,True,False,35.6019747,51.427069,66,,False
مطب دکتر بهار محجوبی,doctors,doctor,doctors,True,False,35.7285404,51.4352524,68,,False
دکتر نبوی فوق تخصص آلرژی کودکان,doctors,doctor,doctors,True,False,35.7797316,51.4493874,69,,False
کلینیک امام رضا,clinic,clinic,clinic,True,False,35.6555559,51.3538284,72,,False
درمانگاه رئوف,clinic,clinic,clinic,True,False,35.7745606,51.4338977,73,,False
رادیولوژی و سونوگرافی بزرگمهر,doctors,doctor,doctors,True,False,35.7036552,51.4046207,75,,False
درمانگاه بهاران,clinic,clinic,clinic,True,False,35.6504544,51.3562798,76,,False
unnamed,clinic,clinic,clinic,True,False,35.76849,51.291753,78,,False
کیش طب آریا /تن آور,clinic,clinic,clinic,True,False,35.7705886,51.4399076,84,,False
مطب دکتر سهراب هاشمى فشارکى,doctors,doctor,doctors,True,False,35.7800155,51.4492664,86,,False
آزمایشگاه پیشرفته,,laboratory,laboratory,True,False,35.6576189,51.3611572,87,,False
مرکز اهدای خون شهدای چیذر,,blood_donation,blood_donation,False,True,35.7975498,51.4567779,92,,False
دکتر حامد عباسی,doctors,doctor,doctors,True,False,35.8048619,51.4217257,96,,False
درمانگاه ابوریحان,clinic,clinic,clinic,True,False,35.6995742,51.4022672,98,,False
کاشت مو ایران نوین,clinic,clinic,clinic,True,False,35.7868693,51.3506788,99,,False
درمانگاه شبانه روزی ساج,clinic,clinic,clinic,True,False,35.7849008,51.3613315,100,,False
unnamed,clinic,clinic,clinic,True,False,35.7235184,51.4352105,101,,False
unnamed,clinic,clinic,clinic,True,False,35.7251761,51.4354727,102,,False
دکتر کوهستانی,doctors,doctor,doctors,True,False,35.7701583,51.3613338,103,,False
آزمایشگاه دکتر ریاضی,,laboratory,laboratory,True,False,35.7263279,51.3225103,104,,False
قضاوی,doctors,doctor,doctors,True,False,35.806854,51.4676503,105,,False
دکتر مالک اطمینان راد متخصص ستون فقرات,doctors,,doctors,True,False,35.7211539,51.3915216,106,,False
انجمن دندانپزشکان عمومی ایران,doctors,,doctors,True,False,35.7793917,51.4212408,112,,False
دکتر چناری,doctors,doctor,doctors,True,False,35.7314102,51.3508291,113,,False
مطب دکتر فرزانه,doctors,doctor,doctors,True,False,35.7506357,51.4086453,114,,False
دکتر سهیلا عارفی,doctors,doctor,doctors,True,False,35.7769338,51.3543045,115,,False
ساختمان پزشکان کاوه,clinic,clinic,clinic,True,False,35.780236,51.4491389,117,,False
آزمایشگاه فراز,,laboratory,laboratory,True,False,35.7283552,51.5137706,118,,False
ساختمان شماره ۳ بیمارستان,hospital,hospital,hospital,True,True,35.640617,51.4204254,126,,False
دکتر مهسا قربانی,doctors,doctor,doctors,True,False,35.7503106,51.4102685,128,,False
مرکز اهدای خون وصال,,blood_donation,blood_donation,False,True,35.7060269,51.3988835,133,,False
کلینیک کار درمانی صالحی,clinic,clinic,clinic,True,False,35.7077906,51.3873493,134,,False
نصیری,doctors,doctor,doctors,True,False,35.7688571,51.3708374,136,,False
درمانگاه دروس,clinic,clinic,clinic,True,False,35.7675676,51.4496359,137,,False
مرکز توانبخشی ارمغان عصر,clinic,clinic,clinic,True,False,35.7468783,51.4126691,138,,False
مطب دکتر تقوى,doctors,doctor,doctors,True,False,35.7719957,51.4408716,140,,False
درمانگاه مهزیار,clinic,clinic,clinic,True,False,35.6563352,51.3868483,142,,False
آزمایشگاه تشخیص طبی جواد,,laboratory,laboratory,True,False,35.6558827,51.3871816,143,,False
۳۴۴ clinic,clinic,clinic,clinic,True,False,35.7236966,51.4171623,146,,False
مطب دکتر کشکولی,doctors,doctor,doctors,True,False,35.752491,51.3972619,147,,False
آزمایشگاه پاتوبیولوژی آزادی,,laboratory,laboratory,True,False,35.7003321,51.3749988,148,,False
مرکز جراحی و پلی کلینیک تخصصی ماد,clinic,clinic,clinic,True,False,35.7732109,51.3658294,149,,False
دکتر ناصر سیگاری طب سوزنی,doctors,,doctors,True,False,35.7602223,51.4101898,152,,False
unnamed,,clinic,clinic,True,False,35.7965948,51.429244,156,,False
درمانگاه ۱۳ آبان,clinic,clinic,clinic,True,False,35.6399367,51.4111283,158,,False
درمانگاه شبانه روزی حیان,clinic,clinic,clinic,True,False,35.756358,51.28931,159,,False
درمانگاه اکبر آباد,clinic,clinic,clinic,True,False,35.6791797,51.3772466,162,,False
آزمایشگاه,,laboratory,laboratory,True,False,35.7011873,51.4104405,165,,False
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.6620327,51.4451367,167,,False
طب سنتی دکتر پرما,doctors,doctor,doctors,True,False,35.7638965,51.4750673,168,,False
دکتر نفیسه کاشانی زاده,doctors,doctor,doctors,True,False,35.70313,51.4028201,169,,False
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.7091389,51.4063969,171,,False
مرکز اهداء خون,,blood_donation,blood_donation,False,True,35.7110248,51.40584,172,,False
آزمایشگاه پزشکی ناجا,,laboratory,laboratory,True,False,35.6999007,51.3926964,173,,False
درمانگاه مجیدیه,clinic,clinic,clinic,True,False,35.7345487,51.4624641,175,,False
کلینیک ویژه بیمارستان شریعتی,clinic,clinic,clinic,True,False,35.722021,51.389346,179,,False
دکتر پریسا عبدلی,doctors,doctor,doctors,True,False,35.7412915,51.472301,184,,False
مطب دکتر مجید حاتمی,doctors,doctor,doctors,True,False,35.7675956,51.411357,186,,False
آزمایشگاه پاتوبیولوژی شمس,,laboratory,laboratory,True,False,35.7488785,51.4716835,187,,False
یاریگر,clinic,clinic,clinic,True,False,35.74609,51.4056011,189,,False
unnamed,clinic,clinic,clinic,True,False,35.7432773,51.5310422,192,,False
unnamed,clinic,clinic,clinic,True,False,35.7950376,51.4823437,193,,False
آزمایشگاه نیلو,,laboratory,laboratory,True,False,35.7405977,51.4103486,194,,False
فرهاد علی همتی,doctors,doctor,doctors,True,False,35.772903,51.4346088,196,,False
مطب خانم دکتر رزیتا داوری,doctors,,doctors,True,False,35.7216972,51.389098,197,,False
unnamed,doctors,doctor,doctors,True,False,35.8098017,51.4128784,199,,False
درمانگاه خیریه محمدولی فرمانفرمائیان,clinic,clinic,clinic,True,False,35.6446272,51.3070955,201,,False
درمانگاه خیریه المهدی,clinic,,clinic,True,False,35.7500585,51.451529,202,,False
مطب دکتر اصغری,doctors,doctor,doctors,True,False,35.7817361,51.3731683,204,,False
آزمایشگاه پاتولوژی و ژنتیک کریمی نژاد - نجم آبادی,,laboratory,laboratory,True,False,35.7545488,51.3666761,205,,False
دکتر محمود ارشد فوق تخصص غدد,doctors,doctor,doctors,True,False,35.7230132,51.3720936,207,,False
مجتمع پزشکان قائم,clinic,clinic,clinic,True,False,35.6350592,51.4917414,208,,False
درمانگاه رازی,clinic,clinic,clinic,True,False,35.6337727,51.4969899,211,,False
درمانگاه شهرداری منطقه یک,clinic,clinic,clinic,True,False,35.8124656,51.4558123,212,,False
رادیولوژی تخصصی دهان و فک دکتر ساندرا مهر علی زاده,doctors,doctor,doctors,True,False,35.7409807,51.4636145,213,,False
لاله,clinic,clinic,clinic,True,False,35.7292646,51.3611484,214,,False
درمانگاه ستاره,clinic,clinic,clinic,True,False,35.771175,51.3793367,215,,False
شهید کلانتری,clinic,clinic,clinic,True,False,35.7160025,51.4178664,216,,False
درمانگاه سحر,clinic,clinic,clinic,True,False,35.7445133,51.3040702,218,,False
مطب دکتر شهریار یحیوی,doctors,doctor,doctors,True,False,35.7562941,51.3946437,222,,False
درمانگاه شهرک دانشگاه,clinic,clinic,clinic,True,False,35.7158924,51.2071239,223,,False
unnamed,doctors,doctor,doctors,True,False,35.7236403,51.423459,224,,False
مطب دکتر محمد میر,doctors,doctor,doctors,True,False,35.7249921,51.382961,226,,False
مجتمع پرشکی حضرت زهرا(ع),clinic,clinic,clinic,True,False,35.7598027,51.2810414,228,,False
مطب دکتر رضوانی,doctors,doctor,doctors,True,False,35.7413788,51.4100457,230,,False
کلینیک ترک اعتیاد فانوس,clinic,drug_rehabilitation,clinic,True,False,35.7831609,51.3559053,234,,False
دکترفریده صمدی,doctors,doctor,doctors,True,False,35.7341851,51.4137519,235,,False
درمانگاه فرهنگیان زینب بختیاری,clinic,clinic,clinic,True,False,35.6511228,51.4868987,236,,False
درمانگاه شبانه روزی فرجام,clinic,clinic,clinic,True,False,35.7397622,51.4948536,237,,False
درمانگاه شفا,clinic,clinic,clinic,True,False,35.7339323,51.5165364,239,,False
درمانگاه شبانه روزی اتکا,clinic,clinic,clinic,True,False,35.6250867,51.411495,240,,False
دکتر علی بهتری متخصص مغز,doctors,doctor,doctors,True,False,35.7408926,51.4104665,242,,False
سلامت مادران,clinic,clinic,clinic,True,False,35.7806149,51.4620316,244,,False
مطب حکیم دکتر حسین روازاده,doctors,doctor,doctors,True,False,35.696531,51.3870168,245,,False
مطب دکتر مجید صادقی,doctors,doctor,doctors,True,False,35.7817611,51.3732047,247,,False
مطب دکتر سخاوت‌فر,doctors,doctor,doctors,True,False,35.7817424,51.3732105,248,,False
مرکز بهداشت صبارو,clinic,clinic,clinic,True,False,35.7685647,51.390941,249,,False
کلینیک,clinic,clinic,clinic,True,False,35.665753,51.4477242,251,,False
مطب دکتر فاطمه اصفهانی,doctors,doctor,doctors,True,False,35.7769375,51.4655714,253,,False
مرکز بهداشت المپیک,clinic,clinic,clinic,True,False,35.7599724,51.2652901,255,,False
درمانگاه به بخش,clinic,clinic,clinic,True,False,35.7364571,51.5559589,256,,False
رادیولوژی و سونوگرافی خورشید,doctors,doctor,doctors,True,False,35.7439335,51.5340766,257,,False
میکرودرم دکتر آزادی فر,doctors,doctor,doctors,True,False,35.6399209,51.487396,260,,False
unnamed,doctors,doctor,doctors,True,False,35.7761603,51.4653463,262,,False
unnamed,,blood_donation,blood_donation,False,True,35.7579342,51.5391741,263,,False
مرکز تصویربرداری کوثر,clinic,yes,clinic,True,False,35.772387,51.4615341,264,,False
مجتمع دارویی درمانی هلال ایران,clinic,clinic,clinic,True,False,35.7334259,51.5438503,265,,False
دکتر طاهره رشیدی,doctors,doctor,doctors,True,False,35.6543346,51.3870533,266,,False
درمانگاه کوثر,clinic,clinic,clinic,True,False,35.8004565,51.5078239,269,,False
unnamed,clinic,clinic,clinic,True,False,35.6684099,51.4445991,270,,False
امین کلینیک,clinic,clinic,clinic,True,False,35.7408344,51.4106089,271,,False
کلینیک درمان دردهای عضلانی و مفصلی,clinic,doctor,clinic,True,False,35.7358653,51.3341346,275,,False
مرکز بهداشت عظیم آباد,clinic,clinic,clinic,True,False,35.6111655,51.4120378,277,,False
درمانگاه پانزده شعبان,clinic,clinic,clinic,True,False,35.6551221,51.4446172,280,,False
درمانگاه شبانه روزی طب الحسن,clinic,clinic,clinic,True,False,35.6390552,51.4987087,282,,False
داروخانه,pharmacy,hospital,pharmacy,False,False,35.6388783,51.4987536,283,,False
مطب دکتر درخشان,doctors,doctor,doctors,True,False,35.7565147,51.4105262,287,,False
رادیولوژی و سونوگرافی راد,doctors,doctor,doctors,True,False,35.707711,51.3862222,288,,False
دکتر مسعود شیروانی,doctors,doctor,doctors,True,False,35.7668885,51.3648045,289,,False
چشم‌ پزشکی هلال احمر,clinic,clinic,clinic,True,False,35.7347296,51.5456346,291,,False
کلینیک زیبایی ویولت,clinic,clinic,clinic,True,False,35.7340632,51.3751923,292,,False
کلینیک شبانه روزی یاس ناز,clinic,clinic,clinic,True,False,35.7969511,51.41741,294,,False
کلینیک ارتوپدی ماهان,clinic,clinic,clinic,True,False,35.7232856,51.4237348,295,,False
ساختمان پزشکان مهرآفرین,clinic,clinic,clinic,True,False,35.766865,51.4406502,297,,False
گروه پزشکی آریان,clinic,clinic,clinic,True,False,35.7667566,51.3644928,299,,False
درمانگاه خیریه تخصصی و فوق تخصصی اباعبدالله الحسین علیه السلام,clinic,clinic,clinic,True,False,35.7349127,51.531675,300,,False
درمانگاه شهدای علی آباد,clinic,clinic,clinic,True,False,35.6245442,51.4231461,301,,False
درمانگاه شهدای دخانیات,clinic,clinic,clinic,True,False,35.6733252,51.3870344,303,,False
آزمایشگاه پاتوبیولوژی کیکاووس,,laboratory,laboratory,True,False,35.7792128,51.4446891,306,,False
کلینیک دندانپزشکی درسان,dentist,clinic,dentist,False,False,35.7619149,51.3250871,308,,False
آزمایشگاه پاتوبیولوژی نور,,laboratory,laboratory,True,False,35.7080574,51.3884066,309,,False
درمانگاه شبانه روزی ایران زمین,clinic,clinic,clinic,True,False,35.7057587,51.3901098,312,,False
مرکز تصویربرداری پزشکی پارسیان,clinic,diagnostic radiology,clinic,True,False,35.7055667,51.3866146,313,,False
unnamed,clinic,clinic,clinic,True,False,35.7598036,51.4101106,314,,False
درمانگاه پایتخت,clinic,clinic,clinic,True,False,35.7901168,51.4352388,316,,False
ساختمان پزشکان فتح,clinic,clinic,clinic,True,False,35.7599977,51.3301176,317,,False
آزمایشگاه دامپزشکی لابرا,,laboratory,laboratory,True,False,35.7095659,51.3724566,318,,False
مطب طب سنتی,doctors,,doctors,True,False,35.7388203,51.3252228,319,,False
دکتر ستایش مهر,doctors,doctor,doctors,True,False,35.7631806,51.4438895,322,,False
بیمارستان تخصصی چشم پزشکی بینا,hospital,hospital,hospital,True,True,35.7380742,51.4779358,323,,False
مجتمع پزشکان تهرانپارس,clinic,clinic,clinic,True,False,35.743181,51.5317656,326,,False
فیزیوتراپی و مرکز سلامت رامتن,clinic,clinic,clinic,True,False,35.7544532,51.3824505,327,,False
درمانگاه جواد ائمه,clinic,clinic,clinic,True,False,35.6458797,51.4904015,328,,False
درمانگاه تجریش,clinic,clinic,clinic,True,False,35.806004,51.4258076,330,,False
آزمایشگاه ژنتیک و پاتوبیولوژی نورا,,laboratory,laboratory,True,False,35.7999769,51.4505039,331,,False
مرکز درمانی ۱۱۰,clinic,clinic,clinic,True,False,35.7537034,51.4513239,337,,False
ساختمان پزشکی شریعتی,clinic,clinic,clinic,True,False,35.7489972,51.4493603,339,,False
حدود دکتر محمد مهدی امام,doctors,,doctors,True,False,35.7237492,51.4071256,340,,False
دكتر فرناز محامدي متخصص كودكان و نوزادان (اطفال),doctors,doctor,doctors,True,False,35.7755707,51.3662705,345,,False
مرکز مشاوره بینش نوین,clinic,psychotherapist,clinic,True,False,35.7652777,51.4412608,346,,False
آزمایشگاه هیوا,,laboratory,laboratory,True,False,35.7646914,51.4408683,347,,False
دکتر اسفندیار کریمی,doctors,doctor,doctors,True,False,35.7438202,51.5338707,348,,False
درمانگاه شبانه روزی سلیم,clinic,clinic,clinic,True,False,35.6253652,51.4196073,349,,False
کلینیک طب سوزنی دکتر سمیه غیاثی,clinic,clinic,clinic,True,False,35.7704308,51.3561496,352,,False
کلینیک دامپزشکی کسری,clinic,clinic,clinic,True,False,35.8200969,51.4806086,353,,False
بیمارستان روانپزشکی رضایی,hospital,hospital,hospital,True,True,35.8155589,51.4674889,354,,False
مجتمع پزشکان شهر آرا,clinic,clinic,clinic,True,False,35.7222961,51.372193,355,,False
کلینیک فروردین,clinic,,clinic,True,False,35.7973554,51.4468361,357,,False
دکتر کورش صمدپور,doctors,doctor,doctors,True,False,35.7382272,51.3266522,358,,False
کلینیک سامیا,clinic,clinic,clinic,True,False,35.7672078,51.4576403,361,,False
دكتر پرورش,doctors,doctor,doctors,True,False,35.7565622,51.3986713,362,,False
پزشکی هسته ای,clinic,clinic,clinic,True,False,35.7610179,51.3705493,363,,False
مجتمع تخصصی دارالشفا,clinic,clinic,clinic,True,False,35.7964536,51.4573723,364,,False
دکتر علیرضا عارف زاده، فوق تخصص غدد,doctors,doctor,doctors,True,False,35.7639199,51.4447113,365,,False
دکتر علی اکبر سیاری,doctors,doctor,doctors,True,False,35.7653245,51.4433321,366,,False
دکتر رامین عالی نژاد,doctors,doctor,doctors,True,False,35.8094207,51.4430693,367,,False
مطب دکتر ثریا شادمان فر,doctors,doctor,doctors,True,False,35.742405,51.4495271,368,,False
کلینیک فوق تخصصی محب مهر,clinic,clinic,clinic,True,False,35.7615128,51.410373,371,,False
درمانگاه کوثر,clinic,clinic,clinic,True,False,35.6742351,51.5132375,372,,False
درمانگاه شبانه روزی منان,clinic,clinic,clinic,True,False,35.7892811,51.3459213,373,,False
دکتر محمود آستانه,doctors,doctor,doctors,True,False,35.7290118,51.4129121,374,,False
آزمایشگاه و پاتوبیولوژی فروغ,,laboratory,laboratory,True,False,35.7477904,51.5365726,377,,False
کلینیک آنو,clinic,clinic,clinic,True,False,35.759865,51.4102193,378,,False
درمانگاه شبانه روزی فرشته,clinic,clinic,clinic,True,False,35.7923764,51.4174107,381,,False
مرکز تصویربرداری و پرتو درمانی پردیس نور نیلو,clinic,yes,clinic,True,False,35.7620249,51.4595939,382,,False
مرکز ولگا,clinic,clinic,clinic,True,False,35.7672226,51.4617019,383,,False
درمانگاه نادر,clinic,hospital,clinic,True,False,35.7303205,51.5408652,385,,False
مرکز بهداشت نیک نژاد,clinic,clinic,clinic,True,False,35.5900167,51.445203,387,,False
دکتر صفیه چعباوی زاده,doctors,doctor,doctors,True,False,35.7531649,51.4106417,393,,False
خانه سلامت کن,clinic,clinic,clinic,True,False,35.7645451,51.2813887,394,,False
آزمایشگاه سلاله,,laboratory,laboratory,True,False,35.7076604,51.3978645,395,,False
کلینیک دکتر محرابی,doctors,doctor,doctors,True,False,35.6517857,51.3619372,397,,False
آزمایشگاه ماد,,laboratory,laboratory,True,False,35.7806571,51.4620272,402,,False
ساختمان پزشکان ظفر,clinic,clinic,clinic,True,False,35.7656513,51.4425887,405,,False
unnamed,,clinic,clinic,True,False,35.7330678,51.3987121,407,,False
درمانگاه تخصصی تشخیص و درمان ناباروری نیکان,clinic,clinic,clinic,True,False,35.8000274,51.4903378,408,,False
کلینیک خانه سفید,clinic,clinic,clinic,True,False,35.7685729,51.4144624,409,,False
مجتمع پزشکان سجاد,clinic,clinic,clinic,True,False,35.7661156,51.3402676,410,,False
مطب حکیم حسین خیراندیش,doctors,doctor,doctors,True,False,35.7661154,51.3402729,411,,False
رادیولوژی فک و صورت اندرزگو,doctors,doctor,doctors,True,False,35.8000068,51.4505964,412,,False
کلینیک دندانپزشکی اقاقیا,clinic,clinic,clinic,True,False,35.7471492,51.3255792,413,,False
کلینیک فیزیوتراپی رامتن,clinic,clinic,clinic,True,False,35.7232878,51.4238688,415,,False
کلینیک اسمایل اسپا,clinic,dentist,clinic,True,False,35.8072228,51.4085673,416,,False
درمانگاه شبانه روزی مهر تهرانپارس,clinic,clinic,clinic,True,False,35.7496418,51.5417932,417,,False
درمانگاه شهرداری منطقه چهار,clinic,clinic,clinic,True,False,35.7426447,51.5570039,418,,False
آزمایشگاه پاتوبیولوژی دکتر خسروشاهی,,laboratory,laboratory,True,False,35.7990647,51.4143652,419,,False
بخش کرونا,hospital,hospital,hospital,True,True,35.8154618,51.4961203,420,,False
کلینیک سیماگل,clinic,clinic,clinic,True,False,35.798522,51.4196661,421,,False
کلینیک زیبایی دکتر زرگران,clinic,clinic,clinic,True,False,35.8012869,51.4603921,422,,False
درمانگاه آهنگ,clinic,clinic,clinic,True,False,35.6577613,51.4761268,423,,False
درمانگاه آزادگان,clinic,clinic,clinic,True,False,35.6259613,51.43574,426,,False
unnamed,doctors,,doctors,True,False,35.7840985,51.4617982,427,,False
دکتر عبدالصمد مدرسی,doctors,doctor,doctors,True,False,35.6310515,51.3686609,428,,False
کلینیک دندانپزشکی مطهر,hospital,hospital,hospital,True,True,35.6310205,51.3686736,429,,False
درمانگاه شبانه روزی مطهر,hospital,hospital,hospital,True,True,35.6310016,51.3686865,430,,False
خانه بهداشت مینی سیتی,clinic,clinic,clinic,True,False,35.7993955,51.5055316,432,,False
لیا کلینیک,clinic,clinic,clinic,True,False,35.7971215,51.4460706,433,,False
دکتر هاشم شمشادی,doctors,doctor,doctors,True,False,35.7413278,51.4094393,435,,False
مرکز بهداشت و درمان دانشگاه تهران,clinic,clinic,clinic,True,False,35.7335834,51.3864601,436,,False
کلینیک شمیران نو,clinic,clinic,clinic,True,False,35.7967268,51.4341805,438,,False
کلینیک زخم دستهای مهربان,clinic,clinic,clinic,True,False,35.7886623,51.4319212,441,,False
کلینیک قیطریه,clinic,clinic,clinic,True,False,35.7958126,51.4397241,442,,False
دارالشفاء قائم,clinic,clinic,clinic,True,False,35.8016417,51.4404436,443,,False
گروه درمان چاقی باراکا,,clinic,clinic,True,False,35.77329,51.4429885,444,,False
ساختمان پزشکان سپهر,doctors,doctor,doctors,True,False,35.7632289,51.4435778,446,,False
بیمارستان روانپزشکی دلارام سینا,hospital,hospital,hospital,True,True,35.6363573,51.4344209,447,,False
مطب دکتر سامان محمدی پور,doctors,doctor,doctors,True,False,35.7800297,51.4598466,451,,False
مرکز پزشکان بازرگان,clinic,,clinic,True,False,35.652062,51.3405365,452,,False
مطب دکتر آزیتا دادگر,doctors,doctor,doctors,True,False,35.6919478,51.376204,458,,False
کلینیک درد بهار,clinic,clinic,clinic,True,False,35.7356279,51.3354876,459,,False
درمانگاه درکه,clinic,clinic,clinic,True,False,35.8086493,51.3819038,461,,False
دکتر آذر اصلانی مقدم,doctors,doctor,doctors,True,False,35.7412094,51.4095206,463,,False
درمانگاه شبانه روزی حکیمان,clinic,clinic,clinic,True,False,35.7690849,51.4763686,464,,False
دارالشفاء کوثر,clinic,clinic,clinic,True,False,35.5857303,51.4368644,465,,False
دکتر مهسا ساداتی,doctors,psychotherapist,doctors,True,False,35.730672,51.3786787,466,,False
مطب دکتر القاسی,doctors,doctor,doctors,True,False,35.7566395,51.3958122,467,,False
کلینیک ایرانیان,clinic,clinic,clinic,True,False,35.7796864,51.4597092,470,,False
دکتر نسترن گودرزی متخصص بیماریهای دهان، فک و صورت,doctors,doctor,doctors,True,False,35.76399,51.445051,479,,False
درمانگاه شفا مهر صدرا,clinic,,clinic,True,False,35.7241501,51.4080173,480,,False
مرکز بهداشت ۱۲ بهمن,clinic,,clinic,True,False,35.6472919,51.4714922,481,,False
