site_id,name,facility_category,latitude,longitude,inside_no_fly_zone,drone_access_class
facility_0,مرکز درمانی دارالشفاء امام حسن مجتبی(ع),clinic,35.6852967,51.4541419,True,requires_special_authorization_or_ground_handoff
facility_1,مطب دکتر شفیع زاده,doctors,35.6985188,51.3809752,False,eligible_for_obstacle_safe_drone_routing
facility_2,درمانگاه شهید فلاحی,clinic,35.7847134,51.5027743,True,requires_special_authorization_or_ground_handoff
facility_3,درمانگاه شبانه روزی گرگان,clinic,35.705441,51.4439145,True,requires_special_authorization_or_ground_handoff
facility_4,پلی کلینیک تخصصی جشنواره,clinic,35.7294441,51.5472681,False,eligible_for_obstacle_safe_drone_routing
facility_5,مطب دکتر فارسی,doctors,35.7584329,51.4532798,True,requires_special_authorization_or_ground_handoff
facility_6,درمانگاه امیرکبیر,clinic,35.6617333,51.3437569,True,requires_special_authorization_or_ground_handoff
facility_7,درمانگاه شبانه‌روزی مشیری,clinic,35.6683568,51.3468576,True,requires_special_authorization_or_ground_handoff
facility_8,درمانگاه ازگل,clinic,35.7961139,51.4961524,False,eligible_for_obstacle_safe_drone_routing
facility_9,مرکز تصویربرداری پزشکی نماطب,clinic,35.7042035,51.4392284,True,requires_special_authorization_or_ground_handoff
facility_10,آزمایشگاه تشخیص طبی یونسی,laboratory,35.7118978,51.4504791,True,requires_special_authorization_or_ground_handoff
facility_11,آزمایشگاه تشخیص طبی تک,laboratory,35.7056554,51.4442209,True,requires_special_authorization_or_ground_handoff
facility_12,مرکز تصویربرداری پزشکی ملاصدرا MRI,clinic,35.7532647,51.3964376,False,eligible_for_obstacle_safe_drone_routing
facility_13,درمانگاه نور,clinic,35.5903596,51.4350716,False,eligible_for_obstacle_safe_drone_routing
facility_14,درمانگاه ایلیاد,clinic,35.7596124,51.3028471,False,eligible_for_obstacle_safe_drone_routing
facility_15,درمانگاه خیریه شهدای مسجد جامع غدیر خم,clinic,35.7573442,51.4575593,False,eligible_for_obstacle_safe_drone_routing
facility_16,آزمایشگاه تشخیص پزشکی دکتر فلاح,laboratory,35.6613018,51.4858747,False,eligible_for_obstacle_safe_drone_routing
facility_17,مرکز تصویربرداری پزشکی حقیقت,doctors,35.7299883,51.4955341,True,requires_special_authorization_or_ground_handoff
facility_18,داروخانه دکتر مفیدی,clinic,35.7474762,51.2634177,True,requires_special_authorization_or_ground_handoff
facility_19,درمانگاه شبانه روزی الزهرا,clinic,35.7234622,51.3103267,True,requires_special_authorization_or_ground_handoff
