site_id,grid_cell,grid_snap_distance_m,mapped_to_free_grid,endpoint_role
facility_92,34:332,47.43984708407933,True,candidate_station
facility_126,208:299,45.91092801682882,True,candidate_station
facility_133,136:279,79.44388525243262,True,candidate_station
facility_172,131:288,230.23297948128135,True,candidate_station
facility_263,76:406,140.4945784757479,True,candidate_station
facility_323,99:350,121.82326222052424,True,candidate_station
facility_354,14:341,24.45179147814931,True,candidate_station
facility_420,14:367,21.791050745936293,True,candidate_station
facility_429,219:253,38.37739784392333,True,candidate_station
facility_430,219:253,36.52884638073962,True,candidate_station
facility_447,213:312,34.18433496561787,True,candidate_station
facility_1014,74:287,195.03352869139573,True,candidate_station
facility_1084,69:263,29.70937129366783,True,candidate_station
facility_1474,39:328,23.11160164695292,True,candidate_station
facility_1508,62:212,33.8849546481348,True,candidate_station
facility_1555,86:290,82.10590346376559,True,candidate_station
facility_1563,92:263,49.856484767201614,True,candidate_station
facility_1565,80:276,43.58555493561073,True,candidate_station
facility_1587,241:316,51.37414975206185,True,candidate_station
facility_1591,103:228,8.67443860509543,True,candidate_station
facility_1614,65:316,100.13175183820154,True,candidate_station
facility_1622,156:292,141.65224198721208,True,candidate_station
facility_1706,35:291,20.648090369090333,True,candidate_station
facility_1746,102:224,28.62891574066049,True,candidate_station
facility_1826,117:302,70.06900025835381,True,candidate_station
facility_1828,117:302,23.80810611410893,True,candidate_station
facility_1846,95:400,64.38454762496842,True,candidate_station
facility_1881,182:317,46.46034574822469,True,candidate_station
facility_1947,73:334,59.15453880905914,True,candidate_station
facility_1990,79:163,39.12322442963516,True,candidate_station
facility_1992,39:296,74.95927505390424,True,candidate_station
facility_2006,50:246,58.95613036007937,True,candidate_station
facility_2076,33:293,33.63281375909687,True,candidate_station
facility_2091,71:334,52.00469682538607,True,candidate_station
facility_2244,18:375,55.941023169003074,True,candidate_station
facility_2252,177:321,214.22227762606664,True,candidate_station
facility_2253,80:276,62.78729293358112,True,candidate_station
facility_2254,80:276,67.20682753358393,True,candidate_station
facility_2267,109:311,27.20452557755246,True,candidate_station
facility_2313,64:258,54.074873333655226,True,candidate_station
facility_2365,55:205,24.981890041598703,True,candidate_station
facility_2367,164:270,35.87821328697464,True,candidate_station
facility_2368,131:289,100.12943659997124,True,candidate_station
facility_2369,149:291,59.58764734043513,True,candidate_station
facility_2370,104:215,40.63738658180974,True,candidate_station
facility_2371,92:264,46.50291633868397,True,candidate_station
facility_2372,62:346,66.12399520391112,True,candidate_station
facility_2375,84:244,70.02940699988093,True,candidate_station
facility_2376,65:287,58.77304381341314,True,candidate_station
facility_2377,66:289,78.61576591735118,True,candidate_station
facility_2378,59:249,111.5045452247094,True,candidate_station
facility_2379,18:375,42.69310751591328,True,candidate_station
facility_2380,150:297,33.81887808467427,True,candidate_station
facility_2381,133:264,55.48214498810816,True,candidate_station
facility_2382,38:359,43.722926989844154,True,candidate_station
facility_2383,259:314,15.790959729138264,True,candidate_station
facility_2384,45:255,15.242963818132132,True,candidate_station
facility_2385,70:263,51.81347430718495,True,candidate_station
facility_2386,49:265,39.14877076152904,True,candidate_station
facility_2392,70:246,34.54741475305541,True,candidate_station
facility_2400,174:289,42.977797003734814,True,candidate_station
facility_2402,123:267,198.67518608350485,True,candidate_station
facility_2404,63:325,22.53552590227607,True,candidate_station
facility_2406,95:325,24.085900536198654,True,candidate_station
facility_2409,90:371,50.28618162116136,True,candidate_station
facility_2412,108:289,92.31270200456,True,candidate_station
facility_2415,9:346,43.84637583876931,True,candidate_station
facility_2416,186:275,39.0280154852231,True,candidate_station
facility_2417,153:279,86.31394221213363,True,candidate_station
facility_2420,32:281,92.07632097671012,True,candidate_station
facility_2422,75:290,47.70021700693927,True,candidate_station
facility_2423,135:279,75.44354100722076,True,candidate_station
facility_2424,134:279,264.7786867019404,True,candidate_station
facility_2425,133:278,64.56536441980272,True,candidate_station
facility_2426,60:290,40.659010118609025,True,candidate_station
facility_2427,179:265,182.5036421246664,True,candidate_station
facility_2429,181:280,33.87215392568747,True,candidate_station
facility_2430,206:276,48.06080118756047,True,candidate_station
facility_2431,216:278,34.418919645518486,True,candidate_station
facility_2432,119:268,31.25371598175783,True,candidate_station
facility_2433,121:253,66.04578202742029,True,candidate_station
facility_2438,67:337,18.929240857340723,True,candidate_station
facility_2439,168:296,83.56970384982444,True,candidate_station
facility_2440,190:245,122.54932138228227,True,candidate_station
facility_2442,67:304,41.38998620613632,True,candidate_station
facility_2443,63:292,21.45458794965454,True,candidate_station
facility_2446,127:292,127.50631222560199,True,candidate_station
facility_2450,259:302,48.6307732698903,True,candidate_station
facility_2451,227:332,47.47933920506697,True,candidate_station
facility_2452,262:298,48.08754669728058,True,candidate_station
facility_2453,131:289,208.85050510166724,True,candidate_station
facility_2454,43:309,22.276091391265947,True,candidate_station
facility_2455,13:368,50.33706630823836,True,candidate_station
facility_2456,16:339,61.11352923592657,True,candidate_station
facility_2459,95:401,43.6053150310561,True,candidate_station
facility_2461,96:331,4.826751195984404,True,candidate_station
facility_2466,127:292,232.20038662142963,True,candidate_station
facility_2468,139:281,42.19917833049538,True,candidate_station
facility_2469,,inf,False,candidate_station
facility_2470,115:295,111.45016888899538,True,candidate_station
facility_2472,98:295,89.31376925267101,True,candidate_station
facility_2473,137:288,190.77529880259328,True,candidate_station
facility_2474,135:265,50.970632540096304,True,candidate_station
facility_2477,114:295,204.36754803461884,True,candidate_station
facility_2478,147:258,83.3683420012259,True,candidate_station
facility_2479,145:291,59.41752279482514,True,candidate_station
facility_2480,152:287,98.42463308696702,True,candidate_station
facility_2481,152:287,138.13981470076533,True,candidate_station
facility_2482,143:284,25.44227604289989,True,candidate_station
facility_2483,173:316,169.59427097132226,True,candidate_station
facility_2486,191:301,40.53858704930085,True,candidate_station
facility_2487,177:306,16.641708916731897,True,candidate_station
facility_2490,195:312,33.27891183333124,True,candidate_station
facility_2495,209:300,40.249556977902614,True,candidate_station
facility_2497,205:200,27.27153454517924,True,candidate_station
facility_2502,18:369,62.99888418473014,True,candidate_station
facility_2504,263:306,86.29808247677308,True,candidate_station
facility_2505,90:256,28.48057015853965,True,candidate_station
facility_2506,32:345,98.51459943279362,True,candidate_station
facility_2507,31:361,23.05761123352667,True,candidate_station
facility_2513,215:293,66.94836788411608,True,candidate_station
facility_2515,64:277,69.50023648155208,True,candidate_station
facility_2517,192:361,50.632216332713874,True,candidate_station
facility_2521,166:309,18.308382830530487,True,candidate_station
facility_2523,74:290,16.681424148076392,True,candidate_station
facility_2524,130:279,83.01911866847254,True,candidate_station
facility_2528,188:291,3.868784343424672,True,candidate_station
facility_2538,143:303,94.80620635022697,True,candidate_station
facility_2563,85:281,42.391103463934535,True,candidate_station
facility_2568,55:205,34.97508171600535,True,candidate_station
facility_2570,80:276,21.734567806303545,True,candidate_station
facility_2577,40:261,39.22938015638022,True,candidate_station
facility_2578,94:215,5.971596989930564,True,candidate_station
facility_2579,117:302,68.24363184277956,True,candidate_station
facility_2588,43:331,47.76873998916688,True,candidate_station
facility_2594,70:205,46.11501468679291,True,candidate_station
facility_2595,70:204,25.633166611153506,True,candidate_station
facility_2599,156:292,76.9420539540039,True,candidate_station
facility_2606,270:323,124.75607289603799,True,candidate_station
facility_2608,189:157,37.21478700320484,True,candidate_station
facility_2612,208:319,44.82046895469258,True,candidate_station
facility_2614,177:305,38.29735653447299,True,candidate_station
facility_2615,79:163,35.87111023370814,True,candidate_station
facility_2618,60:300,50.81669179669027,True,candidate_station
facility_2621,202:363,18.2525779437686,True,candidate_station
facility_2623,143:296,130.25926558652458,True,candidate_station
facility_2624,90:204,13.79371009060967,True,candidate_station
facility_2629,174:274,143.23497915737389,True,candidate_station
facility_2631,216:211,14.597568926408321,True,candidate_station
facility_2635,59:249,106.29126890432215,True,candidate_station
facility_2636,119:269,83.69776965110134,True,candidate_station
facility_2641,89:257,33.54624294576938,True,candidate_station
facility_2642,89:257,40.498470182136096,True,candidate_station
facility_2643,90:257,51.67235310449373,True,candidate_station
facility_2644,88:258,41.87572366318384,True,candidate_station
facility_2646,129:282,164.0302900261975,True,candidate_station
facility_2657,108:289,55.449537890936334,True,candidate_station
facility_2658,91:50,54.820682933430824,True,candidate_station
facility_2670,81:275,40.01046387159256,True,candidate_station
facility_2673,271:320,5.582433333139476,True,candidate_station
facility_2678,132:262,43.6760842359877,True,candidate_station
facility_2681,80:276,44.66692574567756,True,candidate_station
